,pop,phage,immune,vulnerable,richness,phageRichness,pS,b,a,c,beta,absp,d,m,l,popinit,phageinit
894,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.50016062956328,5922034.763098397,0.0015530904413232048,70.0,9.820634057442048e-08,0.06876775902476141,0.0,0.8611781279683735,177105.77694369687,1545363.741876163
895,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.9705678011738814,1429701.8415610718,0.013485420054998086,163.0,3.6512094452687466e-09,0.15895281453350862,0.0,0.8806749615857495,6408028.835692983,3136511.039929911
896,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.145519412329576,27973897.610845707,0.01777608464165946,121.0,9.54255016301237e-09,0.05497433161205521,0.0,0.3996457325502629,1278324.0247119605,2243090.5408488633
897,51081.00558841066,0.0,0.0,51081.00558841066,1.0,1.0,0.0,1.4943309892549181,103333.60986668224,0.02922332319726642,172.0,6.2283621475034656e-09,0.18432359113203875,0.0,0.648485470938203,1375918.7824710936,1096960.6934477037
898,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.9061262572905595,22856142.1777938,0.04441634669804181,177.0,4.8935290639780444e-08,0.0771795963830293,0.0,0.7883372461072158,3319505.2177550234,3542059.785975302
899,43951.27941782712,0.0,0.0,43951.27941782712,1.0,1.0,0.0,1.0865945389016298,507552.55444191257,0.0010721585030664662,69.0,2.725749545036061e-09,0.19746570791104637,0.0,0.7445017292544546,5398154.995069299,248932.34544021712
900,553023.623113557,349265.0183017026,0.0,553022.0145222058,1.0,1.0,0.0,1.177451961859548,3214492.5565907047,0.0010700616750520704,124.0,3.2840621879076896e-09,0.22356961206942733,0.0,0.21216965391156506,789012.905565001,7288446.296482128
901,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.8654503678791805,6636987.31999642,0.007096957942224302,56.0,6.0825927425268846e-09,0.07004131622296919,0.0,0.08882543623740302,3355060.9941156777,1007024.8141634304
902,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.370981608544408,14144332.591963029,0.014804429148233567,123.0,3.885434300977334e-08,0.14977485880070726,0.0,0.8646030315166509,2121269.082897212,2076426.118246605
903,42259.32277900219,0.0,0.0,42259.32277900219,1.0,1.0,0.0,1.274175204341753,154132.54776808023,0.006970974619301076,162.0,7.172764552703385e-09,0.1356727395684362,0.0,0.6132927239655038,517962.84519211896,1032396.2452930368
904,45316.13976987837,0.0,0.0,45316.13977636665,1.0,1.0,0.0,1.018710063083732,2422019.621805959,0.0228437935656074,115.0,1.127195640512062e-09,0.2706486325541962,0.0,0.08116497474359963,577273.0743013103,656851.5797754502
905,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.9855734356079772,4453947.680478109,0.05543051869771737,96.0,3.572170436166157e-08,0.06792572659885589,0.0,0.14869991212288924,492009.3884777968,6542831.265683585
